"Pool","Address"
"USDC / SLVon","0xeeb8f880ead7281a301ef2e6791a6bbe790603ed"
"NVDAon / USDC","0xf5294094bce435bfbd0ec488be5c462aaf32bc7a"
"CRCLon / USDC","0xb18185a673165da566886533ccd9691c0aebbcdf"
"USDC / SPYon","0xd192a9f86a0cff3c814251d90328d19ecd05826b"
"USDC / TSLAon","0x31227b50eccdc9c589826aa2d9e7c5619b1895da"
"USDC / GOOGLon","0x39fcb1935f6ccb0a106d05eb928205c59646af57"
"QQQon / USDC","0xf9adf9525342587bd4620e56c8a86c64ff3fed38"
"BABAon / USDC","0xf34bb48c19fd0a9e19680a82e60c13249584bae3"
"TLTon / USDC","0x2f21b88aa378cf65d81540bba2fd2260c58fb96c"
"AAPLon / USDC","0xad82c9eb065a5cfed71db087e4a52c8a09c69921"
"USDC / COINon","0x6b12d00dbdfc765d57aba9e6e37560ce2ba3d829"
"USDC / MSFTon","0x33b80e73d77b04dd43a1401de99a74b8bf1c5177"
"HOODon / USDC","0x6c56ef67218436e64eeacb72e14ba6a8d1c83b27"
"USDC / MSTRon","0xa4c0e9c9cfae343317ef77c726d7da6ca709df92"
"USDC / NKEon","0xdc3e5f01f4d4c8e25251ae2dc6b895d96fc213c5"
"USDC / SPGIon","0x570f39420d8c6710c3306485750db17cb6f2cd5c"
